cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
123.424,2023-05-28T09:35:00.398Z,32.7744369,35.0245795,215.092,0.167,0.15,8548,34500.399,1.41,3,MSLV
223.33833333333334,2023-05-28T09:35:00.499Z,32.7744367,35.0245796,215.092,0.109,0.22,8548,34500.499,1.41,3,MSLV
323.25266666666664,2023-05-28T09:35:00.599Z,32.7744367,35.0245796,215.108,0.079,0.16,8548,34500.599,1.41,3,MSLV
423.167,2023-05-28T09:35:00.699Z,32.7744365,35.0245799,215.136,0.251,0.16,8548,34500.699,1.41,3,MSLV
523.0813333333333,2023-05-28T09:35:00.798Z,32.7744365,35.0245802,215.143,0.295,0.3,8548,34500.799,1.41,3,MSLV
622.9956666666667,2023-05-28T09:35:00.898Z,32.7744362,35.0245807,215.141,0.415,0.34,8548,34500.899,1.41,3,MSLV
722.9100000000001,2023-05-28T09:35:01.000Z,32.7744363,35.0245812,215.155,0.517,0.44,8548,34501,1.41,3,MSLV
822.8243333333335,2023-05-28T09:35:01.099Z,32.7744364,35.0245817,215.196,0.516,0.55,8548,34501.099,1.41,3,MSLV
922.7386666666669,2023-05-28T09:35:01.199Z,32.7744364,35.0245823,215.217,0.531,0.56,8548,34501.199,1.41,3,MSLV
1022.653,2023-05-28T09:35:01.298Z,32.7744365,35.0245829,215.208,0.641,0.58,8548,34501.299,1.41,3,MSLV
1122.8542,2023-05-28T09:35:01.398Z,32.7744367,35.0245833,215.216,0.467,0.66,8548,34501.399,1.54,3,MSLV
1223.0554,2023-05-28T09:35:01.499Z,32.774437,35.0245835,215.205,0.452,0.5,8548,34501.499,1.54,3,MSLV
1323.2566,2023-05-28T09:35:01.599Z,32.774437,35.0245836,215.196,0.302,0.47,8548,34501.599,1.54,3,MSLV
1423.4578,2023-05-28T09:35:01.699Z,32.7744371,35.0245837,215.193,0.236,0.32,8548,34501.699,1.54,3,MSLV
1523.6589999999999,2023-05-28T09:35:01.798Z,32.7744372,35.0245836,215.175,0.281,0.26,8548,34501.799,1.54,3,MSLV
1623.8601999999998,2023-05-28T09:35:01.898Z,32.7744374,35.024583,215.156,0.626,0.29,8548,34501.899,1.54,3,MSLV
1724.0613999999998,2023-05-28T09:35:02.000Z,32.7744378,35.0245825,215.173,0.663,0.63,8548,34502,1.54,3,MSLV
1824.2625999999998,2023-05-28T09:35:02.099Z,32.7744383,35.024582,215.14,0.836,0.67,8548,34502.099,1.54,3,MSLV
1924.4637999999998,2023-05-28T09:35:02.199Z,32.7744386,35.0245814,215.146,0.741,0.84,8548,34502.199,1.54,3,MSLV
2024.665,2023-05-28T09:35:02.298Z,32.774439,35.0245805,215.134,0.936,0.74,8548,34502.299,1.54,3,MSLV
2124.8503,2023-05-28T09:35:02.398Z,32.7744394,35.0245796,215.109,0.953,0.94,8548,34502.399,1.54,3,MSLV
2225.0356,2023-05-28T09:35:02.499Z,32.7744397,35.0245789,215.082,0.894,0.95,8548,34502.499,1.54,3,MSLV
2325.2209000000003,2023-05-28T09:35:02.599Z,32.7744402,35.0245784,215.09,0.689,0.89,8548,34502.599,1.54,3,MSLV
2425.4062000000004,2023-05-28T09:35:02.699Z,32.7744408,35.0245778,215.08,0.82,0.69,8548,34502.699,1.54,3,MSLV
2525.5915000000005,2023-05-28T09:35:02.798Z,32.7744414,35.0245771,215.066,1.004,0.82,8548,34502.799,1.54,3,MSLV
2625.7768000000005,2023-05-28T09:35:02.898Z,32.774442,35.0245765,215.073,0.787,1,8548,34502.899,1.54,3,MSLV
2725.9621000000006,2023-05-28T09:35:03.000Z,32.7744426,35.0245758,215.105,0.882,0.79,8548,34503,1.54,3,MSLV
2826.1474000000007,2023-05-28T09:35:03.099Z,32.7744432,35.0245752,215.081,0.894,0.89,8548,34503.099,1.54,3,MSLV
2926.332700000001,2023-05-28T09:35:03.199Z,32.7744437,35.0245744,215.08,0.872,0.89,8548,34503.199,1.54,3,MSLV
3026.518,2023-05-28T09:35:03.298Z,32.774444,35.0245737,215.073,0.79,0.87,8548,34503.299,1.54,3,MSLV
3126.945,2023-05-28T09:35:03.398Z,32.7744443,35.024573,215.074,0.686,0.79,8548,34503.399,1.54,3,MSLV
3227.3720000000003,2023-05-28T09:35:03.499Z,32.7744446,35.0245723,215.044,0.789,0.69,8548,34503.499,1.54,3,MSLV
3327.7990000000004,2023-05-28T09:35:03.599Z,32.7744449,35.0245714,214.996,0.915,0.79,8548,34503.599,1.54,3,MSLV
3428.2260000000006,2023-05-28T09:35:03.699Z,32.7744452,35.0245703,215.022,1.036,0.92,8548,34503.699,1.54,3,MSLV
3528.6530000000007,2023-05-28T09:35:03.798Z,32.7744454,35.0245693,215.016,0.961,1.04,8548,34503.799,1.54,3,MSLV
3629.080000000001,2023-05-28T09:35:03.898Z,32.7744457,35.0245684,214.994,0.861,0.96,8548,34503.899,1.7,3,MSLV
3729.507000000001,2023-05-28T09:35:04.000Z,32.7744464,35.0245675,214.989,1.001,0.86,8548,34504,1.54,3,MSLV
3829.934000000001,2023-05-28T09:35:04.099Z,32.7744466,35.0245668,214.976,0.794,1,8548,34504.099,1.54,3,MSLV
3930.3610000000012,2023-05-28T09:35:04.199Z,32.774447,35.0245662,214.952,0.732,0.79,8548,34504.199,1.54,3,MSLV
4030.788,2023-05-28T09:35:04.298Z,32.7744477,35.0245654,214.928,1.006,0.73,8548,34504.299,1.54,3,MSLV
4130.4716,2023-05-28T09:35:04.398Z,32.7744481,35.0245645,214.96,0.9,1.01,8548,34504.399,1.54,3,MSLV
4230.1552,2023-05-28T09:35:04.499Z,32.7744487,35.0245637,214.943,0.999,0.9,8548,34504.499,1.54,3,MSLV
4329.8388,2023-05-28T09:35:04.599Z,32.7744492,35.0245631,214.946,0.778,1,8548,34504.599,1.54,3,MSLV
4429.522400000001,2023-05-28T09:35:04.699Z,32.7744495,35.0245625,214.922,0.701,0.78,8548,34504.699,1.54,3,MSLV
4529.206000000001,2023-05-28T09:35:04.798Z,32.7744498,35.024562,214.966,0.554,0.7,8548,34504.799,1.54,3,MSLV
4628.889600000001,2023-05-28T09:35:04.898Z,32.7744501,35.0245613,214.937,0.714,0.56,8548,34504.899,1.54,3,MSLV
4728.573200000002,2023-05-28T09:35:05.000Z,32.7744505,35.0245603,214.933,1.047,0.71,8548,34505,1.54,3,MSLV
4828.256800000002,2023-05-28T09:35:05.099Z,32.7744507,35.0245594,214.919,0.882,1.05,8548,34505.099,1.54,3,MSLV
4927.940400000002,2023-05-28T09:35:05.199Z,32.774451,35.0245585,214.926,0.958,0.88,8548,34505.199,1.54,3,MSLV
5027.624,2023-05-28T09:35:05.298Z,32.7744513,35.0245576,214.943,0.828,0.96,8548,34505.299,1.54,3,MSLV
5127.6569,2023-05-28T09:35:05.398Z,32.7744516,35.0245568,214.945,0.812,0.83,8548,34505.399,1.54,3,MSLV
5227.6898,2023-05-28T09:35:05.499Z,32.7744519,35.0245559,214.948,0.883,0.81,8548,34505.499,1.54,3,MSLV
5327.7227,2023-05-28T09:35:05.599Z,32.7744522,35.0245555,214.938,0.569,0.88,8548,34505.599,1.54,3,MSLV
5427.7556,2023-05-28T09:35:05.699Z,32.7744525,35.024555,214.937,0.647,0.57,8548,34505.699,1.54,3,MSLV
5527.788500000001,2023-05-28T09:35:05.798Z,32.7744529,35.0245543,214.908,0.717,0.65,8548,34505.799,1.54,3,MSLV
5627.821400000001,2023-05-28T09:35:05.898Z,32.7744533,35.0245534,214.849,1.002,0.72,8548,34505.899,1.54,3,MSLV
5727.854300000001,2023-05-28T09:35:06.000Z,32.7744538,35.0245526,214.857,0.897,1.01,8548,34506,1.54,3,MSLV
5827.887200000001,2023-05-28T09:35:06.099Z,32.7744542,35.0245519,214.911,0.774,0.9,8548,34506.099,1.54,3,MSLV
5927.920100000001,2023-05-28T09:35:06.199Z,32.7744546,35.0245512,214.889,0.829,0.77,8548,34506.199,1.54,3,MSLV
6027.953,2023-05-28T09:35:06.298Z,32.7744549,35.0245503,214.899,0.835,0.83,8548,34506.299,1.54,3,MSLV
6127.909100000001,2023-05-28T09:35:06.398Z,32.774455,35.0245495,214.895,0.792,0.84,8548,34506.399,1.54,3,MSLV
6227.865200000001,2023-05-28T09:35:06.499Z,32.7744551,35.0245487,214.893,0.782,0.79,8548,34506.499,1.54,3,MSLV
6327.821300000001,2023-05-28T09:35:06.599Z,32.7744553,35.024548,214.838,0.746,0.78,8548,34506.599,1.54,3,MSLV
6427.777400000002,2023-05-28T09:35:06.699Z,32.7744553,35.024547,214.806,0.887,0.75,8548,34506.699,1.54,3,MSLV
6527.733500000002,2023-05-28T09:35:06.798Z,32.7744553,35.0245461,214.818,0.906,0.89,8548,34506.799,1.29,3,MSLV
6627.689600000002,2023-05-28T09:35:06.898Z,32.7744552,35.0245451,214.823,0.883,0.91,8548,34506.899,1.54,3,MSLV
6727.645700000003,2023-05-28T09:35:07.000Z,32.7744552,35.0245444,214.765,0.752,0.88,8548,34507,1.44,3,MSLV
6827.601800000003,2023-05-28T09:35:07.099Z,32.7744555,35.0245435,214.836,0.8,0.75,8548,34507.099,1.44,3,MSLV
6927.557900000003,2023-05-28T09:35:07.199Z,32.7744555,35.0245428,214.781,0.674,0.8,8548,34507.199,1.44,3,MSLV
7027.514,2023-05-28T09:35:07.298Z,32.7744555,35.024542,214.738,0.743,0.67,8548,34507.299,1.54,3,MSLV
7127.4143,2023-05-28T09:35:07.398Z,32.7744556,35.0245413,214.756,0.664,0.74,8548,34507.399,1.29,3,MSLV
7227.314600000001,2023-05-28T09:35:07.499Z,32.7744556,35.0245404,214.76,0.779,0.66,8548,34507.499,1.29,3,MSLV
7327.214900000001,2023-05-28T09:35:07.599Z,32.7744557,35.0245395,214.693,0.945,0.78,8548,34507.599,1.29,3,MSLV
7427.115200000001,2023-05-28T09:35:07.699Z,32.7744559,35.0245385,214.737,0.913,0.95,8548,34507.699,1.29,3,MSLV
7527.015500000001,2023-05-28T09:35:07.798Z,32.7744561,35.0245374,214.738,1.01,0.91,8548,34507.799,1.54,3,MSLV
7626.915800000002,2023-05-28T09:35:07.898Z,32.7744562,35.0245364,214.693,0.995,1.01,8548,34507.899,1.54,3,MSLV
7726.816100000002,2023-05-28T09:35:08.000Z,32.7744562,35.0245356,214.711,0.748,1,8548,34508,1.54,3,MSLV
7826.716400000002,2023-05-28T09:35:08.099Z,32.7744565,35.0245348,214.732,0.752,0.75,8548,34508.099,1.54,3,MSLV
7926.616700000002,2023-05-28T09:35:08.199Z,32.7744566,35.0245338,214.675,0.969,0.75,8548,34508.199,1.54,3,MSLV
8026.517,2023-05-28T09:35:08.298Z,32.7744567,35.0245328,214.675,0.936,0.97,8548,34508.299,1.54,3,MSLV
8126.4123,2023-05-28T09:35:08.398Z,32.7744568,35.0245318,214.731,0.88,0.94,8548,34508.399,1.54,3,MSLV
8226.3076,2023-05-28T09:35:08.499Z,32.774457,35.024531,214.719,0.859,0.88,8548,34508.499,1.54,3,MSLV
8326.2029,2023-05-28T09:35:08.599Z,32.7744571,35.0245301,214.691,0.883,0.86,8548,34508.599,1.54,3,MSLV
8426.0982,2023-05-28T09:35:08.699Z,32.7744575,35.0245295,214.746,0.623,0.88,8548,34508.699,1.54,3,MSLV
8525.9935,2023-05-28T09:35:08.798Z,32.7744578,35.0245287,214.692,0.816,0.63,8548,34508.799,1.54,3,MSLV
8625.8888,2023-05-28T09:35:08.898Z,32.774458,35.0245279,214.676,0.783,0.82,8548,34508.899,1.54,3,MSLV
8725.7841,2023-05-28T09:35:09.000Z,32.7744585,35.0245271,214.714,0.842,0.78,8548,34509,1.54,3,MSLV
8825.6794,2023-05-28T09:35:09.099Z,32.774459,35.0245265,214.709,0.814,0.84,8548,34509.099,1.54,3,MSLV
8925.574700000001,2023-05-28T09:35:09.199Z,32.7744594,35.0245259,214.684,0.735,0.81,8548,34509.199,1.54,3,MSLV
9025.47,2023-05-28T09:35:09.298Z,32.77446,35.0245248,214.698,1.096,0.74,8548,34509.299,1.54,3,MSLV
9125.587599999999,2023-05-28T09:35:09.398Z,32.7744602,35.0245242,214.69,0.684,1.1,8548,34509.399,1.44,3,MSLV
9225.705199999999,2023-05-28T09:35:09.499Z,32.7744604,35.0245236,214.687,0.629,0.68,8548,34509.499,1.44,3,MSLV
9325.822799999998,2023-05-28T09:35:09.599Z,32.7744607,35.0245229,214.682,0.72,0.63,8548,34509.599,1.54,3,MSLV
9425.940399999998,2023-05-28T09:35:09.699Z,32.7744609,35.0245221,214.693,0.725,0.72,8548,34509.699,1.54,3,MSLV
9526.057999999997,2023-05-28T09:35:09.798Z,32.7744607,35.024521,214.637,0.957,0.73,8548,34509.799,1.54,3,MSLV
9626.175599999997,2023-05-28T09:35:09.898Z,32.7744605,35.0245199,214.675,1.05,0.96,8548,34509.899,1.54,3,MSLV
9726.293199999996,2023-05-28T09:35:10.000Z,32.7744604,35.024519,214.692,0.86,1.05,8548,34510,1.54,3,MSLV
9826.410799999996,2023-05-28T09:35:10.099Z,32.7744599,35.0245182,214.666,0.847,0.86,8548,34510.099,1.54,3,MSLV
9926.528399999996,2023-05-28T09:35:10.199Z,32.7744598,35.0245176,214.661,0.654,0.85,8548,34510.199,1.54,3,MSLV
10026.646,2023-05-28T09:35:10.298Z,32.7744598,35.0245165,214.647,0.938,0.65,8548,34510.299,1.44,3,MSLV
10127.234400000001,2023-05-28T09:35:10.398Z,32.7744598,35.024516,214.665,0.511,0.94,8548,34510.399,1.44,3,MSLV
10227.822800000002,2023-05-28T09:35:10.499Z,32.7744599,35.0245152,214.619,0.782,0.51,8548,34510.499,1.54,3,MSLV
10328.411200000002,2023-05-28T09:35:10.599Z,32.7744601,35.0245144,214.615,0.756,0.78,8548,34510.599,1.54,3,MSLV
10428.999600000003,2023-05-28T09:35:10.699Z,32.7744602,35.0245134,214.614,0.892,0.76,8548,34510.699,1.54,3,MSLV
10529.588000000003,2023-05-28T09:35:10.798Z,32.7744604,35.0245125,214.594,0.872,0.89,8548,34510.799,1.54,3,MSLV
10630.176400000004,2023-05-28T09:35:10.898Z,32.7744607,35.0245116,214.611,0.86,0.87,8548,34510.899,1.34,3,MSLV
10730.764800000004,2023-05-28T09:35:11.000Z,32.7744607,35.0245107,214.562,0.805,0.86,8548,34511,1.41,3,MSLV
10831.353200000005,2023-05-28T09:35:11.099Z,32.7744607,35.0245099,214.54,0.774,0.81,8548,34511.099,1.41,3,MSLV
10931.941600000006,2023-05-28T09:35:11.199Z,32.7744608,35.0245091,214.55,0.674,0.77,8548,34511.199,1.34,3,MSLV
11032.53,2023-05-28T09:35:11.298Z,32.7744611,35.0245082,214.497,0.927,0.67,8548,34511.299,1.34,3,MSLV
11132.2096,2023-05-28T09:35:11.398Z,32.7744611,35.024507,214.479,0.997,0.93,8548,34511.399,1.34,3,MSLV
11231.8892,2023-05-28T09:35:11.499Z,32.7744613,35.0245061,214.478,0.905,1,8548,34511.499,1.34,3,MSLV
11331.5688,2023-05-28T09:35:11.599Z,32.7744616,35.024505,214.473,1.023,0.9,8548,34511.599,1.34,3,MSLV
11431.248399999999,2023-05-28T09:35:11.699Z,32.7744619,35.0245041,214.502,0.833,1.02,8548,34511.699,1.34,3,MSLV
11530.927999999998,2023-05-28T09:35:11.798Z,32.7744622,35.0245035,214.474,0.698,0.83,8548,34511.799,1.34,3,MSLV
11630.607599999998,2023-05-28T09:35:11.898Z,32.7744624,35.0245026,214.457,0.784,0.7,8548,34511.899,1.44,3,MSLV
11730.287199999997,2023-05-28T09:35:12.000Z,32.7744626,35.0245017,214.455,0.859,0.78,8548,34512,1.34,3,MSLV
11829.966799999997,2023-05-28T09:35:12.099Z,32.7744631,35.0245008,214.439,0.916,0.86,8548,34512.099,1.37,3,MSLV
11929.646399999996,2023-05-28T09:35:12.199Z,32.7744635,35.0244997,214.456,1.073,0.92,8548,34512.199,1.34,3,MSLV
12029.326,2023-05-28T09:35:12.298Z,32.7744639,35.0244987,214.469,0.989,1.07,8548,34512.299,1.34,3,MSLV
12129.270999999999,2023-05-28T09:35:12.398Z,32.7744642,35.0244978,214.435,0.908,0.99,8548,34512.399,1.34,3,MSLV
12229.215999999999,2023-05-28T09:35:12.499Z,32.7744642,35.0244968,214.441,0.94,0.91,8548,34512.499,1.34,3,MSLV
12329.160999999998,2023-05-28T09:35:12.599Z,32.7744646,35.0244957,214.435,1.034,0.94,8548,34512.599,1.34,3,MSLV
12429.105999999998,2023-05-28T09:35:12.699Z,32.7744648,35.0244946,214.418,0.977,1.03,8548,34512.699,1.34,3,MSLV
12529.050999999998,2023-05-28T09:35:12.798Z,32.774465,35.0244936,214.375,0.958,0.98,8548,34512.799,1.34,3,MSLV
12628.995999999997,2023-05-28T09:35:12.898Z,32.7744653,35.0244924,214.437,1.144,0.96,8548,34512.899,1.34,3,MSLV
12728.940999999997,2023-05-28T09:35:13.000Z,32.7744655,35.0244915,214.449,0.845,1.14,8548,34513,1.34,3,MSLV
12828.885999999997,2023-05-28T09:35:13.099Z,32.7744657,35.0244906,214.446,0.912,0.85,8548,34513.099,1.34,3,MSLV
12928.830999999996,2023-05-28T09:35:13.199Z,32.7744661,35.0244895,214.444,0.999,0.91,8548,34513.199,1.34,3,MSLV
13028.776,2023-05-28T09:35:13.298Z,32.7744665,35.0244886,214.457,0.906,1,8548,34513.299,1.34,3,MSLV
13128.7108,2023-05-28T09:35:13.398Z,32.774467,35.0244876,214.453,0.994,0.91,8548,34513.399,1.34,3,MSLV
13228.6456,2023-05-28T09:35:13.499Z,32.7744675,35.0244867,214.412,0.953,0.99,8548,34513.499,1.44,3,MSLV
13328.580399999999,2023-05-28T09:35:13.599Z,32.774468,35.0244859,214.417,0.885,0.95,8548,34513.599,1.34,3,MSLV
13428.515199999998,2023-05-28T09:35:13.699Z,32.7744686,35.0244848,214.451,1.066,0.89,8548,34513.699,1.34,3,MSLV
13528.449999999997,2023-05-28T09:35:13.798Z,32.7744691,35.0244841,214.449,0.779,1.07,8548,34513.799,1.34,3,MSLV
13628.384799999996,2023-05-28T09:35:13.898Z,32.7744692,35.0244832,214.417,0.835,0.78,8548,34513.899,1.34,3,MSLV
13728.319599999995,2023-05-28T09:35:14.000Z,32.7744694,35.0244823,214.423,0.793,0.83,8548,34514,1.34,3,MSLV
13828.254399999994,2023-05-28T09:35:14.099Z,32.7744697,35.0244813,214.404,0.906,0.79,8548,34514.099,1.34,3,MSLV
13928.189199999993,2023-05-28T09:35:14.199Z,32.77447,35.0244805,214.408,0.837,0.91,8548,34514.199,1.34,3,MSLV
14028.124,2023-05-28T09:35:14.298Z,32.7744701,35.0244794,214.406,0.963,0.84,8548,34514.299,1.34,3,MSLV
14127.9766,2023-05-28T09:35:14.398Z,32.7744703,35.0244784,214.418,0.916,0.96,8548,34514.399,1.34,3,MSLV
14227.8292,2023-05-28T09:35:14.499Z,32.7744705,35.0244776,214.403,0.803,0.92,8548,34514.499,1.34,3,MSLV
14327.6818,2023-05-28T09:35:14.599Z,32.7744706,35.0244767,214.362,0.799,0.8,8548,34514.599,1.34,3,MSLV
